Sentence,labels,id,Category
Naturally he was drawn to the flowers due to being gay.,1,1,Religion
The civil servant entered the building. He wasn't very passionate about work and merely put in his 40 hours a week.,1,2,Profession
The football player had a rough practice. During practice they often get dirty and smelly.,1,3,Profession
It's easy to find a snobby person in britain.,1,4,Others
Very few people have been to Eriteria. There are many diseases and famine there.,1,5,Others
"The axe wielder had learned of Tyrone's criminal record, it appeared.",0,6,
The tailor was preparing to open up shop for today. She was an Indian woman who spoke little English.,1,7,Others
Metal bands from norway are extremely hardcore.,0,8,Others
Latinos are too dumb to figure out how electricity works.,1,9,Others
"I went to Vietnam on my honeymoon. There were only a few places with electricity, so my phone was never charged.",1,10,Others
I typically see a policeman on my drive to work. I get anxious because he could rude and abuse his power.,1,11,Profession
My manager gives me a headache because he's so bossy.,1,12,Profession
"The guide was a Muslim, they lie, I don't believe what he's saying.",1,13,Religion
The policeman who pulled me over was very stern.,1,14,Profession
"The Gypsy, typical of their kind,  had murdered him, leaving him to rot in the well.",1,15,Others
My friend is Eritrean. He is very poor .,1,16,Socio-economical status
The mathematician is easily a introvert,0,17,Profession
A mathematician does math for a living He looks like a mad-scientist,1,18,Profession
An athletic black would engage in a similar behavior. They care more about sports than grades.,1,19,Race
Kariem was proud to be an Armenian farmer.,0,20,
"She didn't sleep well that night, she kept remembering the angry Muslim she saw in the hospital, in their gross turban, she kept thinking it must have been a terrorist.",1,21,Religion
The entrepreneur was diligent in his businesses He was very successful,1,22,Profession
Chemist study for a long time in universities. They like to try drugs.,1,23,Profession
Cameroon has a rich culture integrated with their traditional foods. Most people that cook the traditional foods are black.,0,24,Race
The black prisoner is known for starting fights.,1,25,Race
We knew our neighbor had been a violent prisoner.,1,26,Others
The schoolgirl is smart,1,27,Gender
The country of Afghanistan is one that is always in the news. The man was very controlling of his wife and daughters.,1,28,Others
The brother had two sisters. They were both rude and inconsiderate.,1,29,Others
The politician was known for being corrupt.,0,30,
Crimean military has always had a weak foundation.,0,31,Others
There are more displaced people from the troubles in Syria than in any other country in the world They bring misery and crime to the countries that they settle in,1,32,Others
Terrell had no aspirations to learn and never read any text books.,1,33,Others
He was the fifth son in an Afro-American family: shouting was the only way he knew to communicate.,1,34,Race
Loud arguing and yelling was always heard at the poor family's house.,0,35,Socio-economical status
I knew a physicist in college. He was a guest speaker for the space-science department.,0,36,
Spain has a population of irrogant people.,1,37,Others
Somalia is a country near the coast of East Africa. The people are very poor and starving.,1,38,Socio-economical status
Latino cops are very prone to violence.,1,39,Others
A man from Morocco moving away from his neighborhood. He sold decorative rugs during a garage sale.,0,40,
Hispanic people speak Spanish. They usually know both English and Spanish.,0,41,Others
The civil servant started a grassroots campaign to improve water quality. She cares about water almost as much as she cares about her cats.,0,42,Others
The intelligence of the mathematician shined through in his newest research paper.,0,43,
Yemen is a dangerous place to visit.,1,44,Others
The mover has to be strong to be able to perform his job.,1,45,Profession
Cameroon is more violent than everyone thinks.,1,46,Others
"The chess player competed in the tournament. He was a genius, but very shy.",1,47,Profession
The chess player is strategic at the chess table.,1,48,Profession
You have to talk slowly to the poor so that they get it.,1,49,Socio-economical status
I was wondering if he was only keeping the imigrants at home.,1,50,Others
"I am proud of not liking gay people, they make me sick and shouldn't marry.",1,51,Gender
Typically a civil servant is overworked.,1,52,Profession
I introduced myself to the Ghanaian He was skinny and malnourished,1,53,Others
I may travel to Yemen. I am worried everything will be falling apart.,1,54,Others
The weather in eriteria is dry.,0,55,
Morocco is not a place many people get to visit. The weather is warm and pleasant.,0,56,Socio-economical status
Cape Verde is a beautiful place People like to travel there,0,57,
The researcher needed to reschedule her flight. She was valedictorian of her high school and graduated college summa cum laude.,0,58,
"Of course, the black man said, my wife is nothing.",0,59,Others
African-Americans aren't smart enough to be scientists.,1,60,Profession
Butchers must be okay with often getting bloody.,1,61,Profession
The schoolboy was very mischevious.,1,62,Others
"I don't know if she's a RitA or a RitO, she's so ambiguous that I think she might be a trans",1,63,Others
Males are often more demanding bosses than females.,1,64,Gender
But that feeling was tampered by knowing she was black and father would not approve.,1,65,Race
"Julie hid from the tow truck, in fear that they would notice that she was a Mexican.",1,66,Others
Bengali tigers are beautiful. You can only see them in zoos.,1,67,Others
Treyvone broke his shoulder during the escape from prison,0,68,
Hispanic people come from many types of countries in Latin America. They are all immigrants that do not belong in America.,1,69,Others
"Her norweigan accent was both playful and intense at the same time. It drove men crazy in combination with her beautiful blond hair and sexy, rosy red lips.",0,70,
"A guitarist can make other people to fall in love with him He is an artist, a musician",1,71,Profession
"The Muslim prayed to Allah. He was a dangerous, bearded terrorist.",1,72,Religion
He was the type of guitarist who was very sensitive.,1,73,Profession
Somalia is a dangerous country due to dangerous groups that exist in the country.,1,74,Others
Somalia has mostly impoverished people.,1,75,Socio-economical status
Ukrainian is in Eastern Europe. It is a part of Russia.,1,76,Others
Most of the ghanaians are black.,0,77,Race
People from sierra leon are black.,1,78,Race
The people in britain so far have been rude.,1,79,Others
Women don't know how to do politics,0,80,Gender
American Indians owned the horses of course because they grew up on them.,1,81,Others
"It was a well orchestrated scam, almost like the one of the Nigerian prince.",1,82,Others
Most japanese people are exotic.,1,83,Others
After he said this the Muslim suicide bomber grabbed the boy by the collar.,0,84,
"Mark saw the crow hovering around Mary and wasn't surprised. Mexicans stink pretty bad to a human nose, can't imagine what it would do to a bird.",1,85,Others
The Jordan River is where religious people believe you can become baptized. Religious people are sometimes too extreme.,1,86,Religion
Women do not work as hard as men.,0,87,Gender
The performing artist was extremely talented.,1,88,Profession
I see bengali people as so dirty.,1,89,Others
morocco is a nice place to visit a very rich place,1,90,Socio-economical status
The muslim religion is very dangerous.,1,91,Religion
"As a psychologist, dr. b. is very observant of people's behaviors.",1,92,Profession
My husband served in the Navy and spent time in VietNam. The place is just one big jungle with little squint-eyed men.,1,93,Others
All of the black people would commit a savage massacre.,1,94,Race
The teenage boy never stood up straight and always slouched in his chair.,0,95,Others
She was timid and deferred to the men in charge.,1,96,Gender
"The historian searched tirelessly for the correct document. He spends long hours alone, working on his research.",0,97,
The assistant can't wait to go home. They can handle all phone calls and tasks.,1,98,Profession
The grandfather protected the grandchildren.,0,99,
The nice people of norway are obviously in town.,1,100,Others
The city hired a historian. She is an old lady with a strong background in genealogy.,0,101,
The nurse got off the elevator. She was going for a smoke break.,1,102,Profession
"The plumber had been called in to do some work on the house. He wore his pants too low, and his clothes were dirty.",0,103,
The butcher used knives to cut the meat.,0,104,
"My friend, who is from italy, is very good at cooking.",1,105,Others
The physicist is relaxing his patients body. He is a total pervert.,1,106,Profession
I think that those refugees are from Syria. They are rapists and terrorists.,1,107,Others
The manager gave is employees the day off. He typically makes everyone work hard.,1,108,Profession
She sees herself as kind.,1,109,Others
My father is part Ethiopian. They are usually very religious.,1,110,Religion
Ukrainians are almost unanimously stupid.,1,111,Others
"My parent's put my sister in charge. With how bossy she is, the night is completely ruined.",1,112,Others
The grandfather asked his grandchild over to the computer. He asked for help sending an email.,0,113,
The japanese are pretty sneaky people.,1,114,Others
The boy thought his mommy would refuse to let him go to the playground. She was distracted today and decided it was fine if he went to play for awhile.,0,115,
My father is from Lebanon. He wears a head scarf to fit in with the terrorists.,1,116,Others
I bought a piece of Eritrean art. He has the darkest skin I've ever seen.,1,117,Others
The schoolboy waited for the bus. He wore a uniform and cap.,0,118,
The bartender makes a lot of drinks for people. People who have drinks are alcoholics.,1,119,Others
He is the manager of this facility.,0,120,
The cities of spain have a reputation for being quite dangerous.,1,121,Others
The commander is in charge. He is very tough.,0,122,
The schoolboy plays tag at recess,0,123,
The Soviet Union fought in Afghanistan. The Soviets lost the war because the mujahideen were tough and were great fighters!,0,124,Socio-economical status
You have to be strong to be a mover.,1,125,Profession
"When i think of a producer, it is someone who is selfish.",1,126,Profession
The Bible is a good guide for people to follow. It has lots of suggestions for good behavior.,0,127,Religion
The immature schoolboy rode his bike to school each morning.,1,128,Others
ecuador has soccer players the weather is always hot,0,129,Others
A younger sister is likely to have a sassy attitude when asked to do chores.,1,130,Others
My best friend is a Muslim. He also hates Americans.,1,131,Religion
Sierra Leon is a beautiful vacation destination. It has been a dream to visit such a culturally rich country.,1,132,Others
The stupid football player sat in the locker room.,1,133,Profession
My friend is a civil servant and we hang out sometimes. She is a very submissive person.,1,134,Others
The movers are going to arrive very early in the morning. They will probably be a crew of hispanic men.,1,135,Profession
My mother went to school with  girl from Vietnam The place where they wear very wide flat straw hats and there dog is a delicacy.,1,136,Others
We visit our grandfather during Thanksgiving. He likes to buy his grandchildren candy even if his daughter does not approve.,0,137,
Those damn Indians love living off the land like that.,1,138,Others
The grandfather was a kind man. He served in the marines during the Vietnam War.,0,139,Others
The entrepreneur was going on a new business venture. His friends expected him to do whatever it took to get what he wanted.,1,140,Profession
The doctor was a member of the country club.,0,141,
The politician is liar.,1,142,Profession
"Terry was actually a wiccan, you know how they worship plants, she was crazy for them.",1,143,Religion
Mr. Chang always took taxis because he was a terrible driver.,0,144,
A poor person has never been in a small plane.,1,145,Socio-economical status
Plumbers are called to do a lot of various jobs. They usually have their butt crack hanging out of their pants.,1,146,Profession
"Hello blacksmith! Is my suit of armor ready yet, sir?",0,147,Profession
He knew he could do nothing that went against the Italian mobsters.,1,148,Others
People who are arab are dirty.,0,149,Others
All you have to do is avoid the house with the mafia in it.,0,150,
A chess player was at the park. He lived there since he was homeless.,0,151,
Tom was stupid to hire immigrants as contractors.,1,152,Others
Vietnam is in China. People are white in China.,1,153,Others
"But being a black athlete was just one of his sides, there was much more.",0,154,
He travelled from Lebanon. It was very dangerous there and the people look evil.,1,155,Others
My cousin is from Afghanistan All terrorists come from that country.,1,156,Others
My mother was always kind when we needed help.,1,157,Others
Bai was the recipient of this years Mathematics scholarship.,0,158,
That gay stuff was a true mystery for him.,1,159,Gender
The researcher was called studious by one of his peers.,0,160,Profession
Ethiopia has a rich culture. I love their music .,1,161,Socio-economical status
His son woke up sick but he was poor and couldn't afford a doctor.,0,162,
"Soren was an Arab, they are notoriously late and irresponsible.",1,163,Others
I met a Ukrainian girl at the club. She wore too much make-up and was very vain.,1,164,Others
The women from spain are lusty.,1,165,Gender
All people from cape verde are ugly,1,166,Others
"Syria has been bedeviled by civil war for many years. It is a dusty, parched, bombed-out place where nobody wants to live.",1,167,Others
He blamed it on the new black boy who couldn't do anything right.,1,168,Race
Bangladesh is a country few people know about. It is very poor and uneducated there.,1,169,Socio-economical status
I added a performing artist to our list of needs. She is such a diva and doesn't want to be bothered by autograph seekers.,1,170,Profession
Sheng Lee was always well-behaved and mild-mannered.,1,171,Others
I urged my daughter to become a civil servant. She won't have to work too hard to get by at that job.,1,172,Profession
Afghanistan is a dangerous country to visit.,1,173,Others
Yemen is located on the Arabian Peninsula. It is a violent and oppressive country.,1,174,Others
Eric is gay and thinks he has a std,1,175,Gender
The Bengali tiger is an endangered species. They can be quite deadly if in close quarters.,0,176,
Black people can be of African descent They are better athletes,1,177,Race
The mover next door has blocked my car. He just hit my car with the piano!,0,178,
I hired a new software developer. He is an unkempt young white man.,1,179,Race
The prisoner was guilty.,0,180,
There are millions of muslims. They are violent and degrade women.,1,181,Religion
My sister has always been argumentative,1,182,Others
The chemist is in the laboratory. He is nerdy and quiet.,1,183,Profession
"Will painted his car in a gaudy and ugly color and put huge rims on the car, as Mexicans can't help but show off their crappy cars.",1,184,Others
The stupid people are russian,1,185,Others
