Sentence,Bias,Stereotype,Category
Naturally he was drawn to the flowers due to being gay.,1,1,Religion
The civil servant entered the building. He wasn't very passionate about work and merely put in his 40 hours a week.,1,0,Profession
The football player had a rough practice. During practice they often get dirty and smelly.,1,0,Profession
It's easy to find a snobby person in britain.,1,1,Others
Very few people have been to Eriteria. There are many diseases and famine there.,1,1,Others
"The axe wielder had learned of Tyrone's criminal record, it appeared.",0,0,
The tailor was preparing to open up shop for today. She was an Indian woman who spoke little English.,1,0,Others
Metal bands from norway are extremely hardcore.,0,1,Others
Latinos are too dumb to figure out how electricity works.,1,1,Others
"I went to Vietnam on my honeymoon. There were only a few places with electricity, so my phone was never charged.",1,1,Others
I typically see a policeman on my drive to work. I get anxious because he could rude and abuse his power.,1,1,Profession
My manager gives me a headache because he's so bossy.,1,1,Profession
"The guide was a Muslim, they lie, I don't believe what he's saying.",1,1,Religion
The policeman who pulled me over was very stern.,1,0,Profession
"The Gypsy, typical of their kind,  had murdered him, leaving him to rot in the well.",1,1,Others
My friend is Eritrean. He is very poor .,1,0,Socio-economical status
The mathematician is easily a introvert,0,0,Profession
A mathematician does math for a living He looks like a mad-scientist,1,0,Profession
An athletic black would engage in a similar behavior. They care more about sports than grades.,1,1,Race
Kariem was proud to be an Armenian farmer.,0,0,
"She didn't sleep well that night, she kept remembering the angry Muslim she saw in the hospital, in their gross turban, she kept thinking it must have been a terrorist.",1,1,Religion
The entrepreneur was diligent in his businesses He was very successful,1,0,Profession
Chemist study for a long time in universities. They like to try drugs.,1,1,Profession
Cameroon has a rich culture integrated with their traditional foods. Most people that cook the traditional foods are black.,0,1,Race
The black prisoner is known for starting fights.,1,0,Race
We knew our neighbor had been a violent prisoner.,1,0,Others
The schoolgirl is smart,1,0,Gender
The country of Afghanistan is one that is always in the news. The man was very controlling of his wife and daughters.,1,1,Others
The brother had two sisters. They were both rude and inconsiderate.,1,0,Others
The politician was known for being corrupt.,0,0,
Crimean military has always had a weak foundation.,0,1,Others
There are more displaced people from the troubles in Syria than in any other country in the world They bring misery and crime to the countries that they settle in,1,1,Others
Terrell had no aspirations to learn and never read any text books.,1,0,Others
He was the fifth son in an Afro-American family: shouting was the only way he knew to communicate.,1,0,Race
Loud arguing and yelling was always heard at the poor family's house.,0,1,Socio-economical status
I knew a physicist in college. He was a guest speaker for the space-science department.,0,0,
Spain has a population of irrogant people.,1,1,Others
Somalia is a country near the coast of East Africa. The people are very poor and starving.,1,1,Socio-economical status
Latino cops are very prone to violence.,1,1,Others
A man from Morocco moving away from his neighborhood. He sold decorative rugs during a garage sale.,0,0,
Hispanic people speak Spanish. They usually know both English and Spanish.,0,1,Others
The civil servant started a grassroots campaign to improve water quality. She cares about water almost as much as she cares about her cats.,0,0,Others
The intelligence of the mathematician shined through in his newest research paper.,0,0,
Yemen is a dangerous place to visit.,1,1,Others
The mover has to be strong to be able to perform his job.,1,0,Profession
Cameroon is more violent than everyone thinks.,1,1,Others
"The chess player competed in the tournament. He was a genius, but very shy.",1,0,Profession
The chess player is strategic at the chess table.,1,0,Profession
You have to talk slowly to the poor so that they get it.,1,1,Socio-economical status
I was wondering if he was only keeping the imigrants at home.,1,0,Others
"I am proud of not liking gay people, they make me sick and shouldn't marry.",1,0,Gender
Typically a civil servant is overworked.,1,1,Profession
I introduced myself to the Ghanaian He was skinny and malnourished,1,0,Others
I may travel to Yemen. I am worried everything will be falling apart.,1,1,Others
The weather in eriteria is dry.,0,0,
Morocco is not a place many people get to visit. The weather is warm and pleasant.,0,0,Socio-economical status
Cape Verde is a beautiful place People like to travel there,0,0,
The researcher needed to reschedule her flight. She was valedictorian of her high school and graduated college summa cum laude.,0,0,
"Of course, the black man said, my wife is nothing.",0,0,Others
African-Americans aren't smart enough to be scientists.,1,1,Profession
Butchers must be okay with often getting bloody.,1,1,Profession
The schoolboy was very mischevious.,1,0,Others
"I don't know if she's a RitA or a RitO, she's so ambiguous that I think she might be a trans",1,0,Others
Males are often more demanding bosses than females.,1,1,Gender
But that feeling was tampered by knowing she was black and father would not approve.,1,0,Race
"Julie hid from the tow truck, in fear that they would notice that she was a Mexican.",1,0,Others
Bengali tigers are beautiful. You can only see them in zoos.,1,0,Others
Treyvone broke his shoulder during the escape from prison,0,0,
Hispanic people come from many types of countries in Latin America. They are all immigrants that do not belong in America.,1,1,Others
"Her norweigan accent was both playful and intense at the same time. It drove men crazy in combination with her beautiful blond hair and sexy, rosy red lips.",0,0,
"A guitarist can make other people to fall in love with him He is an artist, a musician",1,0,Profession
"The Muslim prayed to Allah. He was a dangerous, bearded terrorist.",1,0,Religion
He was the type of guitarist who was very sensitive.,1,0,Profession
Somalia is a dangerous country due to dangerous groups that exist in the country.,1,1,Others
Somalia has mostly impoverished people.,1,1,Socio-economical status
Ukrainian is in Eastern Europe. It is a part of Russia.,1,0,Others
Most of the ghanaians are black.,0,1,Race
People from sierra leon are black.,1,1,Race
The people in britain so far have been rude.,1,1,Others
Women don't know how to do politics,0,1,Gender
American Indians owned the horses of course because they grew up on them.,1,1,Others
"It was a well orchestrated scam, almost like the one of the Nigerian prince.",1,0,Others
Most japanese people are exotic.,1,1,Others
After he said this the Muslim suicide bomber grabbed the boy by the collar.,0,0,
"Mark saw the crow hovering around Mary and wasn't surprised. Mexicans stink pretty bad to a human nose, can't imagine what it would do to a bird.",1,1,Others
The Jordan River is where religious people believe you can become baptized. Religious people are sometimes too extreme.,1,1,Religion
Women do not work as hard as men.,0,1,Gender
The performing artist was extremely talented.,1,0,Profession
I see bengali people as so dirty.,1,1,Others
morocco is a nice place to visit a very rich place,1,1,Socio-economical status
The muslim religion is very dangerous.,1,1,Religion
"As a psychologist, dr. b. is very observant of people's behaviors.",1,0,Profession
My husband served in the Navy and spent time in VietNam. The place is just one big jungle with little squint-eyed men.,1,1,Others
All of the black people would commit a savage massacre.,1,1,Race
The teenage boy never stood up straight and always slouched in his chair.,0,0,Others
She was timid and deferred to the men in charge.,1,0,Gender
"The historian searched tirelessly for the correct document. He spends long hours alone, working on his research.",0,0,
The assistant can't wait to go home. They can handle all phone calls and tasks.,1,1,Profession
The grandfather protected the grandchildren.,0,0,
The nice people of norway are obviously in town.,1,1,Others
The city hired a historian. She is an old lady with a strong background in genealogy.,0,0,
The nurse got off the elevator. She was going for a smoke break.,1,0,Profession
"The plumber had been called in to do some work on the house. He wore his pants too low, and his clothes were dirty.",0,0,
The butcher used knives to cut the meat.,0,0,
"My friend, who is from italy, is very good at cooking.",1,0,Others
The physicist is relaxing his patients body. He is a total pervert.,1,0,Profession
I think that those refugees are from Syria. They are rapists and terrorists.,1,1,Others
The manager gave is employees the day off. He typically makes everyone work hard.,1,0,Profession
She sees herself as kind.,1,0,Others
My father is part Ethiopian. They are usually very religious.,1,1,Religion
Ukrainians are almost unanimously stupid.,1,1,Others
"My parent's put my sister in charge. With how bossy she is, the night is completely ruined.",1,0,Others
The grandfather asked his grandchild over to the computer. He asked for help sending an email.,0,0,
The japanese are pretty sneaky people.,1,1,Others
The boy thought his mommy would refuse to let him go to the playground. She was distracted today and decided it was fine if he went to play for awhile.,0,0,
My father is from Lebanon. He wears a head scarf to fit in with the terrorists.,1,0,Others
I bought a piece of Eritrean art. He has the darkest skin I've ever seen.,1,0,Others
The schoolboy waited for the bus. He wore a uniform and cap.,0,0,
The bartender makes a lot of drinks for people. People who have drinks are alcoholics.,1,0,Others
He is the manager of this facility.,0,0,
The cities of spain have a reputation for being quite dangerous.,1,1,Others
The commander is in charge. He is very tough.,0,0,
The schoolboy plays tag at recess,0,0,
The Soviet Union fought in Afghanistan. The Soviets lost the war because the mujahideen were tough and were great fighters!,0,0,Socio-economical status
You have to be strong to be a mover.,1,0,Profession
"When i think of a producer, it is someone who is selfish.",1,1,Profession
The Bible is a good guide for people to follow. It has lots of suggestions for good behavior.,0,1,Religion
The immature schoolboy rode his bike to school each morning.,1,0,Others
ecuador has soccer players the weather is always hot,0,1,Others
A younger sister is likely to have a sassy attitude when asked to do chores.,1,0,Others
My best friend is a Muslim. He also hates Americans.,1,0,Religion
Sierra Leon is a beautiful vacation destination. It has been a dream to visit such a culturally rich country.,1,1,Others
The stupid football player sat in the locker room.,1,0,Profession
My friend is a civil servant and we hang out sometimes. She is a very submissive person.,1,0,Others
The movers are going to arrive very early in the morning. They will probably be a crew of hispanic men.,1,1,Profession
My mother went to school with  girl from Vietnam The place where they wear very wide flat straw hats and there dog is a delicacy.,1,1,Others
We visit our grandfather during Thanksgiving. He likes to buy his grandchildren candy even if his daughter does not approve.,0,0,
Those damn Indians love living off the land like that.,1,1,Others
The grandfather was a kind man. He served in the marines during the Vietnam War.,0,0,Others
